id,Selling_Price,km_Driven,City_Code,State_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,Region_code,Sales_status
7533,404000,122358,21,6,1,1,1,0,12.05,2179,120,9,0,1
7534,280000,100000,6,5,1,1,1,0,25.32,1198,77,6,3,1
7535,480000,44665,17,9,1,1,1,0,25.32,1198,77,6,4,1
7536,175000,20000,16,2,1,1,1,0,12.2,1948,68,10,2,1
7537,700000,70000,7,16,1,1,1,0,15.96,2523,63,9,1,1
7538,630000,101000,15,11,1,1,1,0,16.55,2498,105,6,5,1
7539,340000,51492,21,6,3,1,1,0,18.15,1198,82,6,0,1
7540,300000,40000,14,8,3,1,1,0,18.15,1198,82,6,1,1
7541,327000,20000,28,12,3,1,1,0,18.15,1198,82,6,3,1
7542,1040000,1620,22,4,3,1,1,0,19.01,1462,103.2,6,3,1
7543,600000,70000,21,6,1,1,1,0,18.49,2179,120,9,0,1
7544,550000,70000,21,6,1,1,1,0,15.96,2523,63,9,0,1
7545,600000,90000,26,3,1,1,1,0,13.58,2499,72.4,9,1,1
7546,700000,24000,8,17,1,1,1,0,16.55,2498,105,6,4,1
7547,650000,6000,13,2,3,1,1,0,18.15,1198,82,6,2,1
7548,80000,30000,19,15,3,1,1,0,25.4,624,37.48,4,0,1
7549,480000,100000,20,14,1,1,1,0,15.96,2523,62.1,9,0,1
7550,250000,20000,28,12,3,1,0,0,21.9,624,37.48,4,3,1
7551,450000,110000,10,2,1,1,1,0,15.96,2523,63,9,2,1
7552,775000,35000,1,7,1,1,1,0,16.55,2498,105,6,2,1
7553,375000,80000,17,9,1,1,1,0,25.32,1198,77,6,4,1
7554,500000,70000,23,5,1,1,1,0,15.96,2523,63,9,3,1
7555,400000,80000,24,0,1,1,1,0,15.96,2523,63,9,3,1
7556,800000,2000,21,6,1,1,1,0,15.96,2523,63,9,0,1
7557,459999,156975,7,16,1,1,1,0,15.96,2523,62.1,9,1,1
7558,380000,80000,9,4,1,1,1,0,25.32,1198,77,6,3,1
7559,250000,185000,16,2,1,1,1,0,12.7,2609,116.6,9,2,0
7560,200000,67500,22,4,1,1,1,0,12.2,1948,68,10,3,0
7561,400000,50000,11,15,1,1,1,0,25.32,1198,77,6,0,0
7562,550000,150000,26,3,1,1,1,0,15.96,2523,63,9,1,0
7563,520000,110000,13,2,1,1,1,0,12.05,2179,120,9,2,0
7564,95000,30000,3,12,3,1,1,0,25.4,624,37.48,4,3,0
7565,600000,110000,17,9,1,1,1,0,13.58,2499,72.4,10,4,0
7566,130000,60000,8,17,3,1,1,0,25.4,624,37.48,4,4,0
7567,500000,115717,8,17,1,1,1,0,12.05,2179,120,9,4,0
7568,426000,110000,5,10,3,1,1,0,18.15,1198,82,6,4,0
7569,70000,15000,13,2,3,1,1,0,26,624,35,4,2,0
7570,165000,25000,4,13,3,1,1,0,25.4,624,37.5,4,3,0
7571,580000,95000,4,13,1,1,1,0,15.96,2523,63,9,3,0
7572,360000,29000,16,2,3,1,1,0,18.15,1198,82,6,2,0
7573,325000,178000,21,6,1,1,1,0,15.96,2523,63,9,0,0
7574,500000,50000,12,1,1,1,1,0,13.58,2499,72.4,9,1,0
7575,525000,200000,24,0,1,1,1,0,15.96,2523,62.1,9,3,0
7576,450000,20000,4,13,3,1,1,0,18.15,1198,82,6,3,0
7577,850000,20000,10,2,1,1,1,0,18.49,2179,120,9,2,0
7578,720000,80000,14,8,1,1,1,0,15.4,2523,75,9,1,0
7579,720000,90000,23,5,1,1,1,0,15.4,2523,75,9,3,0
7580,1000000,15000,25,7,3,1,1,0,19.01,1462,103.2,6,2,0
7581,160000,220000,20,14,1,1,1,0,14.8,2499,80,10,0,0
7582,225000,100000,18,4,1,1,1,0,14.8,2499,80,10,3,0
7583,530000,20000,4,13,1,1,1,0,15.96,2523,63,9,3,0
7584,260000,67000,22,4,0,1,1,0,33.44,796,40.3,4,3,0
7585,875000,25000,5,10,1,1,1,0,16.55,2498,105,6,4,0
7586,550000,10500,2,12,3,1,1,0,18.15,1198,82,6,3,0
7587,484999,100000,4,13,1,1,1,0,15.96,2523,63,9,3,0
7588,900000,35000,26,3,1,1,1,0,16.55,2498,105,6,1,0
7589,80000,60000,14,8,3,1,1,0,23.9,624,37.48,4,1,0
